n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,RMSE,MAE,MAPE,random_state,Composite_Score
100,5,2,2,log2,0.01141811552456276,0.006951718378575087,0.021503335363282552,25,0.013291056422140133
100,5,2,2,log2,0.011035112861586385,0.00702722625439424,0.02187454705367481,32,0.013312295389885145
100,5,2,2,log2,0.011392019699092131,0.007478828037633012,0.023416252768552998,13,0.014095700168426047
100,5,2,2,log2,0.012515991949207744,0.007436280149514096,0.022756308297088895,3,0.014236193465270244
100,5,2,2,log2,0.01161283510580102,0.007850926672114724,0.024453799707475302,23,0.014639187161797015
100,5,2,2,log2,0.012067574329689195,0.008058792357986864,0.02507415352658093,48,0.015066840071418997
100,5,2,2,log2,0.012624765108677436,0.00800603455155737,0.02473860122049799,43,0.015123133626910932
100,5,2,2,log2,0.012159356924377779,0.008141006368203169,0.025351228166468828,31,0.01521719715301659
100,5,2,2,log2,0.012477770742782448,0.008378616783483225,0.026178111993474713,14,0.015678166506580125
100,5,2,2,log2,0.012664012768177623,0.00858678431782406,0.026744848894165493,26,0.015998548660055723
100,5,2,2,log2,0.01243770637178618,0.008677464664550855,0.027194854136475863,39,0.016103341724270963
100,5,2,2,log2,0.013411651555267837,0.008688565104803394,0.026690534359447494,28,0.016263583673172908
100,5,2,2,log2,0.012382222246330659,0.00887636999285203,0.028038008914980327,35,0.016432200384721006
100,5,2,2,log2,0.01299568441339665,0.008939579334837947,0.02777856539595238,41,0.016571276381395657
100,5,2,2,log2,0.012302310710367206,0.009100249588741399,0.028641821829289517,16,0.01668146070946604
100,5,2,2,log2,0.01250884005703133,0.009263295388238888,0.029313379937283265,49,0.01702850512751783
100,5,2,2,log2,0.012416159766131368,0.00933148765376375,0.029395519340438447,27,0.01704772225344452
100,5,2,2,log2,0.013359870501308912,0.009231165845524041,0.028969276568626173,38,0.01718677097181971
100,5,2,2,log2,0.013128092948479319,0.009602250394457383,0.030272912821199992,18,0.01766775205471223
100,5,2,2,log2,0.01246671033167436,0.009755250437381954,0.03099006261648647,6,0.01773734112851426
100,5,2,2,log2,0.01297133937321772,0.0096967468062443,0.030714618083698585,5,0.017794234754386868
100,5,2,2,log2,0.013020159888968798,0.009800468285314268,0.03105346932825256,11,0.017958032500845208
100,5,2,2,log2,0.012804284045536267,0.009861644970803019,0.031220497246414746,37,0.017962142087584676
100,5,2,2,log2,0.013471042195311205,0.010243150740633648,0.03242977218461992,20,0.01871465504018826
100,5,2,2,log2,0.013121181044772683,0.010318716638303678,0.03277633746664838,47,0.018738745049908245
100,5,2,2,log2,0.013781568757111076,0.010229422518358363,0.032231639595219345,22,0.01874754362356293
100,5,2,2,log2,0.013470662143786243,0.010312079471921878,0.03270442033919459,46,0.018829053984967568
100,5,2,2,log2,0.01326785388913005,0.010682952487563327,0.03416234665927941,9,0.01937105101199093
100,5,2,2,log2,0.013759706288278346,0.010632217988680566,0.03373863718706737,1,0.01937685382134209
100,5,2,2,log2,0.013608291268097221,0.010842619903146186,0.034476845182389214,45,0.01964258545121087
100,5,2,2,log2,0.013978764539389617,0.011046999481661596,0.03514923498509733,24,0.020058333002049514
100,5,2,2,log2,0.014502349151669182,0.011220058916444571,0.03564389956942437,17,0.020455435879179373
100,5,2,2,log2,0.013666568492217628,0.01137135449524741,0.03632913620066121,2,0.020455686396042082
100,5,2,2,log2,0.014901319729454278,0.011895723501783216,0.03776874675876106,19,0.021521929996666182
100,5,2,2,log2,0.015014600258167447,0.012462178539374485,0.03982353466207496,42,0.022433437819872296
100,5,2,2,log2,0.015160502980811771,0.012711248686133195,0.040550970027657625,36,0.022807573898200866
100,5,2,2,log2,0.015286734779277503,0.012839651828092009,0.040904256546138426,21,0.023010214384502646
100,5,2,2,log2,0.01598182803800278,0.013203283957066983,0.04207491117106968,44,0.023753341055379813
100,5,2,2,log2,0.015949932345490397,0.013414436025319268,0.04303642930253718,15,0.024133599224448944
100,5,2,2,log2,0.0158486755797618,0.01375865181924007,0.043962811248903236,8,0.0245233795493017
100,5,2,2,log2,0.01591385632391754,0.013723263258994773,0.043987301518679175,30,0.024541473700530496
100,5,2,2,log2,0.01609569926633967,0.013964949147942456,0.04473752777395033,10,0.024932725396077483
100,5,2,2,log2,0.01584047117080917,0.014046426539953366,0.04541508153258694,4,0.02510065974778316
100,5,2,2,log2,0.01605229333881191,0.014172533595158465,0.045568097079988226,12,0.025264308004652868
100,5,2,2,log2,0.01642901476363186,0.014457966698696268,0.04644954497883762,34,0.025778842147055246
100,5,2,2,log2,0.01732615597406494,0.015058951859497327,0.048433151188296365,7,0.026939419673952875
100,5,2,2,log2,0.0174652162617586,0.015474994527575505,0.0497365604710241,40,0.027558923753452733
100,5,2,2,log2,0.01768811691846679,0.015621843566619914,0.05035940974632453,29,0.027889790077137076
100,5,2,2,log2,0.018460259696772768,0.016458350986732397,0.05312170757294882,33,0.029346772752151327
